Title (* = favourite),Year,Director,Language
Le Boucher,1970,Claude Chabrol,French
Claire's Knee,1970,Éric Rohmer,French
Bed And Board*,1971,François Truffaut,French
Frenzy,1972,Alfred Hitchcock,English
Solaris,1972,Andrei Tarkovsky,Russian
Chloe in the Afternoon,1972,Éric Rohmer,French
Roma ,1972,Federico Fellini,Italian
The Spirit Of The Beehive,1973,Victor Erice,Spanish
F For Fake*,1973,Orson Welles,English
Day For Night*,1973,François Truffaut,French
The Exorcist,1973,William Friedkin,English
Amarcord,1973,Federico Fellini,Italian
Fanny and Alexander,1973,Ingmar Bergman,Swedish
Ali: Fear Eats The Soul*,1974,Rainer Werner Fassbinder,German
Celine and Julie Go Boating*,1974,Jacques Rivette,French
Lacombe Lucien,1974,Louis Malle ,French
The Story of Adele H.,1975,François Truffaut,French
The Passenger,1975,Michelangelo Antonioni,English/Spanish
The Mirror,1975,Andrei Tarkovsky,Russian
Taxi Driver,1976,Martin Scorsese ,English
Family Plot,1976,Alfred Hitchcock,English
Die Marquise von O,1976,Éric Rohmer,German
That Obscure Object Of Desire,1977,Luis Buñuel,French
Stroszek,1977,Werner Herzog,German/English
Nosferatu Phantom Der Nacht,1979,Werner Herzog,German
The Marriage of Maria Braun,1979,Rainer Werner Fassbinder,German
Young Frankenstein,1979,Mel Brooks,English
Stalker,1980,Andrei Tarkovsky,Russian
The Shining,1980,Stanley Kubrick,English
The Woman Next Door,1981,François Truffaut,French
Lola ,1981,Rainer Werner Fassbinder,German
La Femme de L'aviateur*,1981,Éric Rohmer,French
Veronika Voss,1982,Rainer Werner Fassbinder,German
Atlantic City,1982,Louis Malle ,English
Fitzcarraldo*,1982,Werner Herzog,English/German/Spanish
The Draughtsman's Contract*,1982,Peter Greenaway,English
Nostalgia ,1983,Andrei Tarkovsky,Russian/Italian
Pauline at the Beach*,1983,Éric Rohmer,French
San Soleil,1983,Chris Marker,French
Les Nuits de la Pleine Lune*,1984,Éric Rohmer,French
Ran*,1985,Akira Kurosawa,Japanese
The Sacrifice,1986,Andrei Tarkovsky,Swedish
The Green Ray*,1986,Éric Rohmer,French
Au Revoir Les Enfants*,1987,Louis Malle ,French
The Cook the Thief His Wife and her Lover,1989,Peter Greenaway,English
Helas Pour Moi,1992,Jean-Luc Godard,French
Merci Pour Le Chocolat,2000,Claude Chabrol,French
Eloge de l'amour,2001,Jean-Luc Godard,French
